site,category,NZTMX,NZTMY,CwmsName
71194,Not on Restriction,1356753.0,5091916.0,Upper Waitaki
71195,Not on Restriction,1449637.0,5024581.0,Lower Waitaki - South Coastal Canterbury
84,All Days on Restriction,1648381.0,5307233.0,Kaikoura
85,All Days on Restriction,1648481.0,5308132.0,Kaikoura
906,Not on Restriction,1582601.0,5285949.0,Hurunui - Waiau
91,Not on Restriction,1655378.0,5306432.0,Kaikoura
92,All Days on Restriction,1462038.0,5116287.0,Orari-Temuka-Opihi-Pareora
945,Some Days on Restriction,1582306.0,5236606.0,Hurunui - Waiau
956,Not on Restriction,1519716.0,5174487.0,Selwyn - Waihora
L36/1738,Not on Restriction,1532339.10788465,5154949.04455439,Selwyn - Waihora
M34/0497,All Days on Restriction,1578006.34337206,5220625.95396146,Hurunui - Waiau
M35/1000,Not on Restriction,1545121.79477744,5180372.04278768,Selwyn - Waihora
M35/1110,Some Days on Restriction,1559780.67365242,5181098.45708263,Christchurch - West Melton
M35/1691,Not on Restriction,1553532.8677829,5182027.89318706,Christchurch - West Melton
M35/5696,Not on Restriction,1549524.35435381,5179842.45029281,Selwyn - Waihora
M36/0217,All Days on Restriction,1552919.4370915,5175261.1973539,Selwyn - Waihora
