SwazName,use_type,date,sw_allo,gw_allo,total_allo,sw_metered_allo,gw_metered_allo,total_metered_allo,sw_restr_allo,gw_restr_allo,total_restr_allo,restr_ratio,sw_metered_restr_allo,gw_metered_restr_allo,total_metered_restr_allo,total_usage,sw_usage,gw_usage
Taylors Stream,irrigation,2018-06-30,2596163.422380952,392835.52999999997,2988998.9523809524,1722470.8952380954,387418.69999999995,2109889.595238095,2545685.422380952,392835.52999999997,2938520.9523809524,87.89354838709677,1680584.8952380952,387418.69999999995,2068003.5952380954,392917.5,330747.54500000004,62169.954999999994
Taylors Stream,stockwater,2013-06-30,2201613.2141638226,0.0,2201613.2141638226,2055619.872013652,0.0,2055619.8720136518,2201613.2141638226,0.0,2201613.2141638226,32.0,2055619.872013652,0.0,2055619.8720136518,877394.3625640869,877394.3625640869,0.0
Taylors Stream,stockwater,2014-06-30,1251862.6458333335,0.0,1251862.6458333335,1084438.420138889,0.0,1084438.420138889,1251862.6458333335,0.0,1251862.6458333335,35.0,1084438.420138889,0.0,1084438.420138889,1061115.3000183105,1061115.3000183105,0.0
Taylors Stream,stockwater,2015-06-30,1241666.6458333335,0.0,1241666.6458333335,112548.77083333331,0.0,112548.77083333331,1241666.6458333335,0.0,1241666.6458333335,35.0,112548.77083333331,0.0,112548.77083333331,74066.61815656535,74066.61815656535,0.0
Taylors Stream,stockwater,2016-06-30,1244114.7743055555,0.0,1244114.7743055555,49918.0,0.0,49918.0,1244114.7743055555,0.0,1244114.7743055555,35.0,49918.0,0.0,49918.0,9997.914972305298,9997.914972305298,0.0
Taylors Stream,stockwater,2017-06-30,1241666.6458333335,0.0,1241666.6458333335,58992.604166666664,0.0,58992.604166666664,1241666.6458333335,0.0,1241666.6458333335,35.0,58992.604166666664,0.0,58992.604166666664,41454.46010971069,41454.46010971069,0.0
Taylors Stream,stockwater,2018-06-30,1241666.6458333335,0.0,1241666.6458333335,62706.92013888888,0.0,62706.92013888888,1241666.6458333335,0.0,1241666.6458333335,35.0,62706.92013888888,0.0,62706.92013888888,63425.3101272583,63425.3101272583,0.0
Wakanui,irrigation,2013-06-30,3415273.2586318194,4364771.74136818,7780045.0,3345482.125298486,3822719.3327850583,7168201.458083546,3415273.2586318194,4364771.74136818,7780045.0,191.0,3345482.125298486,3822719.3327850583,7168201.458083546,3497723.083822049,1392080.1055087168,2105642.9783133324
Wakanui,irrigation,2014-06-30,2610330.5837513646,4234456.416248635,6844787.0,2077503.6809476265,3399772.7508168253,5477276.431764452,2610330.5837513646,4234456.416248635,6844787.0,184.0,2077503.6809476265,3399772.7508168253,5477276.431764452,2736406.955658458,1001827.6007886503,1734579.3548698078
Wakanui,irrigation,2015-06-30,3500544.2287513646,4389350.771248636,7889895.0,2792146.9168822058,3254871.936444265,6047018.85332647,3500544.2287513646,4389350.771248636,7889895.0,203.0,2792146.9168822058,3254871.936444265,6047018.85332647,3198481.497811625,1443129.2777830388,1755352.220028586
Wakanui,irrigation,2016-06-30,3499867.5548005924,4386042.445199408,7885910.0,2672239.754800592,3869808.505703609,6542048.260504203,3499867.5548005924,4386042.445199408,7885910.0,203.0,2672239.754800592,3869808.505703609,6542048.260504203,1191554.7350462908,540900.9462938639,650653.7887524269
Wakanui,irrigation,2017-06-30,5000335.623829268,5211540.376170732,10211876.000000002,4706172.013829268,4345484.207891636,9051656.221720904,4723333.527634473,5081000.194301011,9804333.721935485,242.55225806451608,4429169.917634471,4223645.356095988,8652815.273730462,3139080.6400745055,1523446.5825133363,1615634.0575611696
Wakanui,irrigation,2018-06-30,4086053.529302836,5353613.470697163,9439667.000000002,3282531.816760031,4132688.507266221,7415220.324026252,4080714.5994382626,5348701.320492611,9429415.919930877,261.6480414746544,3282531.816760031,4128504.3929522927,7411036.209712324,2021102.0,834346.6900000001,1186755.31
